East_m,North_m,Species
221.7,90.92,DF
220.87,92.72,DF
220.87,97.7,DF
215.76,99.48,WH
229.13,98.29,DF
230.18,103.84,DF
229.83,107.7,WH
233.64,107.67,WH
236.43,106.49,WH
239.96,104.25,WH
229.31,88.32,WH
231.83,84.86,WH
235.28,88.8,WH
200.6,165.66,DF
208.77,167.5,DF
230.48,174.42,WH
269.54,187.67,WH
183.5,158.16,SF
66.44,121.29,WH
47.06,80.94,WH
44.54,79.79,DF
41.84,83.52,WH
39.61,87.61,DF
77.34,59.59,DF
53.83,75.96,SF
49.66,69.21,DF
54.16,68.5,SF
58.8,63.69,DF
51.44,49.96,DF
34.98,67.61,SF
43.84,55.22,SF
316.53,132.98,WH
319.81,127.23,WH
327.96,126.71,WH
313.54,119.29,WH
309.65,132.62,WH
304.65,119.9,WH
288.91,127.41,WH
294.64,117.95,WH
297.16,115.46,DF
302.86,115.02,DF
283.77,106.49,DF
276.89,114.12,DF
274.19,110.78,WH
280.43,101.49,WH
270.59,114.54,SF
267.01,118.11,SF
268.87,108.42,DF
260.73,103.79,WH
255.08,115.94,DF
249.62,105.72,DF
246.03,99.99,DF
250.39,97.69,WH
245.16,93.98,DF
245.4,85.79,WH
205.92,98.5,DF
201.27,98.14,WH
198.43,87.24,WH
199.89,82.64,WH
200.89,72.32,DF
190.15,82.52,WH
194.73,88.4,WH
183.14,92.61,DF
177.02,85.14,WH
178.72,88.45,DF
161.13,83.77,SF
166.48,72.31,DF
160.99,63.58,DF
153.87,65.35,DF
157.3,69.29,WH
154.86,72.8,WH
152.37,72.88,WH
147.82,70.77,WH
144.03,67.43,DF
133.8,57.41,WH
135.32,65.21,DF
123.21,74.32,WH
125.78,52.3,WH
127.11,62.75,WH
116.4,70.25,DF
105.74,49.7,DF
112.64,48.25,WH
112.33,46.01,DF
100.04,47.87,SF
93.92,47.32,DF
83.79,37.94,DF
76.04,41.45,DF
74.29,48.38,SF
70.72,38.07,SF
65.82,36.41,DF
61.86,51.71,DF
62.46,53.82,SF
57.29,52.98,SF
52.28,45.07,DF
47.78,40.59,SF
316.41,210.11,WH
201.51,177.4,SF
200.35,168.64,SF
195.89,176.07,SF
184.44,172.46,SF
128.18,155.07,WH
225.09,80.79,SF
223.4,84.67,SF
214.75,101.42,WH
213.75,91.72,SF
227.04,102.11,SF
231.23,108.93,WH
235.4,93.66,WH
237,88.1,WH
210.79,167.32,SF
246.56,178.89,SF
256.84,181.11,WH
161.44,151.52,SF
167.92,153.92,SF
180.51,156.95,SF
186.51,161.31,SF
188.79,161.58,SF
148.59,146.63,SF
153.57,150.56,SF
156.6,149.09,SF
109.7,135.71,SF
118.52,139.8,SF
119.75,138.89,SF
126.62,141.92,SF
126.95,141.1,WH
73.72,122.72,SF
73.02,122.01,SF
70.36,121.19,SF
49.37,88.83,SF
51.44,91.71,SF
49.21,93.44,SF
47.61,95.9,SF
50.05,97.88,SF
44.37,101.16,SF
46.55,101.99,SF
41.19,108.71,SF
42.64,110.09,WH
41.5,110.54,DF
38.58,110.58,SF
35.81,107.52,SF
35.74,106.96,SF
35.84,106.31,SF
38.88,107.35,SF
39.27,106.32,SF
40.52,107.54,SF
40.57,107.57,SF
38.63,105.51,SF
38.54,105.38,SF
37.33,104.64,SF
40.33,107.28,SF
37.81,103.51,SF
39.31,103.49,SF
44.22,92.92,SF
45.86,90.47,DF
47.2,89.23,SF
42.2,82.08,SF
43.16,86.3,DF
42.01,90.85,SF
36.13,92.62,SF
33.83,92.66,SF
37.1,95.33,SF
31.43,101.35,SF
30.54,101.59,SF
31.65,101.28,SF
31.28,101,SF
33.18,98.18,WH
32.09,96.81,WH
31.94,97.44,WH
31.02,99.69,WH
29.45,98.53,SF
29.3,99.97,SF
26.33,100.93,SF
29.43,105.3,SF
28.53,102.97,WH
22.25,103.93,WH
18.61,102.83,SF
20.88,99.93,SF
19.56,99.24,SF
25.07,97.98,SF
25.1,96.39,SF
28.42,96.92,SF
26.62,94.39,SF
27.03,93.28,SF
25.93,91.95,SF
24.6,90.28,SF
29.42,94.32,SF
30.14,93.88,SF
29.68,93.85,SF
25.86,92.61,SF
27.61,87.42,SF
31.42,91.98,SF
32.97,89.11,SF
36.16,94.25,SF
31.01,87.4,SF
27.04,85.75,SF
30.23,83.19,SF
55.25,80.36,SF
52.63,81.83,WH
57.71,68.49,SF
53.28,61.69,SF
62.19,56.43,SF
58.37,53.77,SF
50.66,54.28,SF
47.95,52.13,SF
50.6,59.82,SF
50.07,66.05,SF
47.09,66.11,SF
49.49,68.56,SF
43.54,78.06,SF
44.92,71.88,SF
37.12,73.39,SF
35.66,66.19,SF
40.46,66.02,SF
39.03,63.92,SF
43.42,59.01,SF
45.37,56.85,SF
332.62,117.2,SF
318.19,115.14,SF
315.99,121.03,WH
316.13,122.98,WH
