East_m,North_m,Species,DBH_cm
60.15,119.03,SF,16.9
292.2,168.23,SF,11.8
329.97,169.52,SF,16.7
90.53,38.86,SF,32.8
94.54,143.66,SF,11.6
191.59,157.11,SF,28.2
112.11,54.9,SF,36.3
45.66,67.85,SF,12.1
29.22,91.99,SF,18.5
253.79,165.31,WH,66.9
78.37,93.5,DF,95.8
184.19,176.14,SF,26
115.6,131.83,DF,108.7
27.58,70.68,SF,19.2
179.22,120.19,SF,10.4
295.07,110.01,SF,14
82.44,76.28,SF,10.1
294.2,177.68,SF,10
123.9,78.92,SF,12.4
64.33,117.46,SF,25.6
58.18,60.99,DF,136.7
6.78,127.46,DF,32.3
315.66,189.6,WH,36.8
122.48,155.4,WH,32.9
91.74,57.1,SF,10.4
105.2,108.58,DF,37.6
319.19,152.23,SF,16.4
125.16,144.87,SF,11.3
274.12,97.6,SF,12.6
123.62,107.5,SF,10.2
74.38,137.6,SF,18
200.54,180.45,WH,93.2
138.82,173.46,SF,24.8
96.51,144.5,WH,13.7
313.57,105.21,WH,48.5
156.56,184.47,SF,10.4
254.34,188.33,WH,87.7
247.98,118.21,WH,10.4
133.5,59.87,WH,64.1
240.89,147.67,WH,29.3
295,201.74,WH,79.3
177.24,153.49,SF,10.8
247.91,190.1,WH,64.8
111.06,143.47,SF,20.2
289.31,101.13,SF,16.5
201.82,168.64,SF,20.9
23.12,123.85,DF,28.5
41.94,75.9,DF,116.1
102.78,110.1,SF,20.2
310.55,214.75,WH,70
270.23,105.52,SF,16.8
28.27,104.12,SF,10
251.19,136.48,WH,52.6
271.16,103.3,SF,11.2
82.85,54.64,DF,105
171.97,86.54,SF,26.6
189.68,187.51,SF,13.4
218.95,141.57,SF,23
134.29,127.47,DF,121.3
98.73,124.67,WH,49.4
45.31,51.05,SF,16.8
63.63,43.28,SF,13
57.56,139.74,SF,18.7
252.97,158.04,SF,35
171.78,154.69,WH,94.9
77.71,108.15,SF,20.8
58.21,103.21,SF,12.2
54.69,85.57,SF,17.1
198.84,154.48,WH,47.4
73.96,35.12,SF,33.6
10.21,123.74,DF,80.4
88.64,66.09,DF,112.7
85.22,148.05,SF,11.6
91.24,69.91,SF,17.2
176.28,120.11,SF,18
296.33,171.81,SF,13.2
114.3,133.66,SF,16
112.44,133.73,SF,15.2
156.4,177.22,DF,74.3
107.21,63.18,SF,44.7
79.45,153.66,WH,14.5
183.04,144.05,SF,47
304.58,133.91,SF,13.2
57.26,111.86,SF,10.7
215.57,153.97,SF,54.5
295.72,161.49,WH,84.8
68.93,72.03,SF,47.8
13.27,131.24,DF,24.9
200.36,77.81,DF,140.2
41.29,137.33,DF,14.7
36.03,131.57,DF,23.4
31.34,102.59,WH,14.2
310.66,198.52,WH,24.6
144.5,148.45,SF,34.3
91.09,95.49,DF,112.2
136.36,132.13,SF,11.6
246.12,185.22,WH,19.5
107.77,92.19,SF,19.1
55.07,64.18,SF,12.7
151.05,157.95,SF,15.9
37.24,130,DF,31.8
295.52,112,SF,34.5
93.94,60.98,SF,13.7
133.2,169.46,WH,18.8
143.29,170.83,WH,51.7
119.53,133.84,WH,27.6
199.42,119.24,SF,20.2
132.39,167.42,WH,18.1
242.89,113.56,SF,10.2
149.11,149.67,SF,32
205.03,179.62,DF,135.9
95.08,147.33,SF,19.2
174.92,117.47,SF,14.2
52.01,97.2,SF,17.9
54.09,128.56,SF,20.6
15.3,121.73,WH,10.8
319.26,115.63,SF,14.4
65.92,137.13,SF,38.2
292.44,169.68,SF,9.1
90.87,79.34,DF,115.7
345.39,128.96,WH,77.8
81.28,155.93,SF,11.9
189.85,186.09,SF,18.2
83.94,127.76,SF,10.3
61.98,65.2,SF,18
35.23,130.19,DF,31.2
274.8,159.31,SF,11
46.67,78.92,SF,16.8
102.85,108.35,SF,14.2
62.34,139.62,WH,22.4
72.69,45.27,SF,19.1
69.83,108.45,SF,21.1
60.56,49.94,SF,13.4
102.02,87.06,DF,119.2
309.2,214.17,WH,12.5
344.06,159.53,SF,17.8
95.78,149.58,SF,22.2
257.41,172.91,WH,87.1
332.06,215.88,WH,19.1
300.53,156.1,WH,57.1
293.19,130.77,WH,69.4
94.67,118.07,SF,17.6
54.51,138.7,WH,12.9
50.96,126.59,SF,11.2
31.83,86.97,DF,74.6
122.08,78.63,SF,25.6
161.51,175.16,SF,19.9
117.07,124.12,SF,14.1
38.52,95.96,SF,13.8
107.59,101.85,SF,50.3
205.29,172.66,SF,10.6
281.85,103.65,SF,10.4
136.82,65.97,WH,35.1
191.67,70.82,WH,51
190.87,99.43,WH,30.5
293.24,124.37,WH,16.6
133.66,117.46,SF,15.7
286.83,110.66,SF,11.4
195.55,180.46,SF,26.3
62.5,138.68,WH,41.5
274.74,121.35,SF,19.7
51.19,104.82,DF,98
150.96,146.76,DF,137.3
264.51,157.3,SF,22.4
285.77,212.51,WH,57.3
185.04,181.26,SF,111
28.59,102.2,DF,122
305.07,220.4,DF,65.6
36.76,103.77,SF,10.1
73.3,41.88,SF,20.1
269.91,218.37,WH,60.4
358.77,139.98,SF,11
271.11,104.59,SF,11.4
254.86,92.12,SF,17.7
300.77,161.54,SF,12.6
165.93,94.03,GF,27
99.46,142.22,SF,22.5
103.36,59.75,DF,38
303.47,180.28,WH,62.5
93.84,41.78,SF,31.7
33.45,121.91,DF,25.8
277.61,122.72,SF,49.3
142.17,74.23,DF,131.4
26.75,128.27,SF,16.9
36.04,112.16,SF,13.4
175.96,123.73,DF,114.2
135.5,89.53,SF,21.9
263,135.76,DF,87.8
235.69,174.64,WH,37.1
23.65,91.18,SF,12.2
208.67,95.42,SF,13.2
140.57,122.37,SF,46
209.05,101.64,SF,31.5
127.65,167.72,SF,40.1
344.36,170.07,SF,28
258.12,91.56,SF,10.7
117.43,99.21,SF,13.7
44.59,125.62,SF,18.4
52.87,137.58,SF,11.1
88.58,75.6,SF,11.9
161.65,168.02,DF,100.5
